drug_name,medical_condition,activity,rx_otc,pregnancy_category,csa,alcohol,rating,no_of_reviews,drug_link
Nitro-Dur,Hypertension,1%,Rx,C,N,X,1.0,1.0,https://www.drugs.com/mtm/nitro-dur-transdermal.html
Nitro-Time,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/cons/nitro-time.html
Nitrolingual Pumpspray,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/cons/nitrolingual.html
NitroMist,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/nitromist.html
Nitrostat,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/nitrostat.html
Nitro TD Patch-A,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/mtm/nitro-td-patch-a-transdermal.html
Taztia XT,Hypertension,1%,Rx,C,N,,,,https://www.drugs.com/cons/taztia-xt.html
Tekturna,Hypertension,1%,Rx,D,N,,7.2,27.0,https://www.drugs.com/tekturna.html
Tiadylt ER,Hypertension,1%,Rx,C,N,,,,https://www.drugs.com/pro/tiadylt-er.html
Tiazac,Hypertension,1%,Rx,C,N,,0.0,2.0,https://www.drugs.com/tiazac.html
torsemide,Hypertension,1%,Rx,B,N,X,2.5,2.0,https://www.drugs.com/mtm/torsemide.html
Verelan,Hypertension,1%,Rx,C,N,X,,,https://www.drugs.com/cons/verelan.html
Verelan PM,Hypertension,1%,Rx,C,N,X,5.5,2.0,https://www.drugs.com/cons/verelan-pm.html
Zestoretic,Hypertension,1%,Rx,D,N,X,8.3,5.0,https://www.drugs.com/zestoretic.html
Ziac,Hypertension,1%,Rx,C,N,X,5.6,19.0,https://www.drugs.com/ziac.html
Accuretic,Hypertension,0%,Rx,D,N,X,4.0,1.0,https://www.drugs.com/mtm/accuretic.html
acebutolol,Hypertension,0%,Rx,B,N,X,9.7,3.0,https://www.drugs.com/mtm/acebutolol.html
Aldactazide,Hypertension,0%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/aldactazide.html
Aldoril,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cons/aldoril.html
aliskiren / hydrochlorothiazide,Hypertension,0%,Rx,D,N,X,8.5,4.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-aliskiren.html
aliskiren,Hypertension,0%,Rx,D,N,,6.9,29.0,https://www.drugs.com/mtm/aliskiren.html
amiloride / hydrochlorothiazide,Hypertension,0%,Rx,B,N,X,,,https://www.drugs.com/mtm/hydrochlorothiazide-and-amiloride.html
amiloride,Hypertension,0%,Rx,B,N,X,5.5,2.0,https://www.drugs.com/mtm/amiloride.html
amlodipine / celecoxib,Hypertension,0%,Rx,,N,,,,https://www.drugs.com/mtm/amlodipine-and-celecoxib.html
amlodipine / hydrochlorothiazide / olmesartan,Hypertension,0%,Rx,D,N,X,7.5,20.0,https://www.drugs.com/mtm/amlodipine-hydrochlorothiazide-and-olmesartan.html
amlodipine / perindopril,Hypertension,0%,Rx,D,N,,2.0,2.0,https://www.drugs.com/mtm/amlodipine-and-perindopril.html
amlodipine / telmisartan,Hypertension,0%,Rx,D,N,X,8.5,13.0,https://www.drugs.com/mtm/amlodipine-and-telmisartan.html
Atacand HCT,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/atacand-hct.html
azilsartan medoxomil / chlorthalidone,Hypertension,0%,Rx,D,N,X,7.4,25.0,https://www.drugs.com/mtm/azilsartan-and-chlorthalidone.html
azilsartan medoxomil,Hypertension,0%,Rx,D,N,X,5.0,44.0,https://www.drugs.com/azilsartan-medoxomil.html
betaxolol,Hypertension,0%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/betaxolol.html
Brevibloc,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/brevibloc.html
candesartan / hydrochlorothiazide,Hypertension,0%,Rx,D,N,X,5.5,2.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-candesartan.html
captopril / hydrochlorothiazide,Hypertension,0%,Rx,D,N,X,0.0,1.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-captopril.html
Cardene IV,Hypertension,0%,Rx,C,N,,,,https://www.drugs.com/cons/cardene-iv.html
chlorothiazide,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/chlorothiazide-oral-injection.html
clevidipine,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/clevidipine.html
Cleviprex,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cleviprex.html
Conjupri,Hypertension,0%,Rx,,N,X,,,https://www.drugs.com/mtm/conjupri.html
Consensi,Hypertension,0%,Rx,,N,,,,https://www.drugs.com/consensi.html
Corgard,Hypertension,0%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/corgard.html
Corzide,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cons/corzide.html
Corzide 40/5,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/corzide-40-5.html
Corzide 80/5,Hypertension,0%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/corzide-80-5.html
Demadex,Hypertension,0%,Rx,B,N,X,,,https://www.drugs.com/mtm/demadex.html
Diuril,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/diuril-oral-injection.html
Diuril Sodium,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cons/diuril-sodium.html
Dutoprol,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cdi/dutoprol.html
Edarbi,Hypertension,0%,Rx,D,N,X,4.9,41.0,https://www.drugs.com/edarbi.html
Edarbyclor,Hypertension,0%,Rx,D,N,X,7.4,25.0,https://www.drugs.com/edarbyclor.html
enalapril / hydrochlorothiazide,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/hydrochlorothiazide-and-enalapril.html
eprosartan,Hypertension,0%,Rx,D,N,,,,https://www.drugs.com/cons/eprosartan.html
esmolol,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/esmolol.html
fosinopril / hydrochlorothiazide,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/hydrochlorothiazide-and-fosinopril.html
guanabenz,Hypertension,0%,Rx,C,N,X,0.0,1.0,https://www.drugs.com/cons/guanabenz.html
hydrochlorothiazide / methyldopa,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/hydrochlorothiazide-and-methyldopa.html
hydrochlorothiazide / metoprolol,Hypertension,0%,Rx,C,N,X,0.0,1.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-metoprolol.html
hydrochlorothiazide / moexipril,Hypertension,0%,Rx,D,N,X,8.0,1.0,https://www.drugs.com/cons/moexipril-and-hydrochlorothiazide.html
hydrochlorothiazide / quinapril,Hypertension,0%,Rx,D,N,X,4.0,1.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-quinapril.html
hydrochlorothiazide / spironolactone,Hypertension,0%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/hydrochlorothiazide-and-spironolactone.html
Hytrin,Hypertension,0%,Rx,C,N,X,8.0,3.0,https://www.drugs.com/hytrin.html
Inspra,Hypertension,0%,Rx,B,N,X,10.0,1.0,https://www.drugs.com/mtm/inspra.html
isradipine,Hypertension,0%,Rx,C,N,,,,https://www.drugs.com/mtm/isradipine.html
levamlodipine,Hypertension,0%,Rx,,N,X,,,https://www.drugs.com/mtm/levamlodipine.html
Lopressor HCT,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cons/lopressor-hct.html
Lotensin HCT,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/lotensin-hct.html
Maxzide-25,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/cdi/maxzide-25.html
mecamylamine,Hypertension,0%,Rx,C,N,,,,https://www.drugs.com/mtm/mecamylamine.html
Midamor,Hypertension,0%,Rx,B,N,X,1.0,1.0,https://www.drugs.com/mtm/midamor.html
Minipress,Hypertension,0%,Rx,C,N,X,7.5,3.0,https://www.drugs.com/mtm/minipress.html
moexipril,Hypertension,0%,Rx,D,N,,8.0,2.0,https://www.drugs.com/mtm/moexipril.html
nebivolol / valsartan,Hypertension,0%,Rx,,N,X,,,https://www.drugs.com/mtm/nebivolol-and-valsartan.html
nicardipine,Hypertension,0%,Rx,C,N,,,,https://www.drugs.com/mtm/nicardipine-oral-injection.html
nisoldipine,Hypertension,0%,Rx,C,N,,0.0,1.0,https://www.drugs.com/mtm/nisoldipine.html
pindolol,Hypertension,0%,Rx,B,N,X,6.0,3.0,https://www.drugs.com/mtm/pindolol.html
Prestalia,Hypertension,0%,Rx,D,N,,,,https://www.drugs.com/prestalia.html
Sular,Hypertension,0%,Rx,C,N,,0.0,1.0,https://www.drugs.com/mtm/sular.html
Tarka,Hypertension,0%,Rx,D,N,X,9.0,4.0,https://www.drugs.com/mtm/tarka.html
Tekturna HCT,Hypertension,0%,Rx,D,N,X,8.5,4.0,https://www.drugs.com/tekturna-hct.html
Tenoretic,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/cdi/tenoretic.html
Tenoretic 50,Hypertension,0%,Rx,D,N,X,9.0,1.0,https://www.drugs.com/mtm/tenoretic-50.html
Tenoretic 100,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/tenoretic-100.html
timolol,Hypertension,0%,Rx,C,N,X,,,https://www.drugs.com/mtm/timolol.html
Trandate,Hypertension,0%,Rx,C,N,X,4.0,1.0,https://www.drugs.com/mtm/trandate.html
trandolapril / verapamil,Hypertension,0%,Rx,D,N,X,9.0,4.0,https://www.drugs.com/mtm/trandolapril-and-verapamil.html
trandolapril,Hypertension,0%,Rx,D,N,,,,https://www.drugs.com/mtm/trandolapril.html
Tribenzor,Hypertension,0%,Rx,D,N,X,7.5,20.0,https://www.drugs.com/tribenzor.html
Twynsta,Hypertension,0%,Rx,D,N,X,8.4,11.0,https://www.drugs.com/twynsta.html
Vaseretic,Hypertension,0%,Rx,D,N,X,,,https://www.drugs.com/mtm/vaseretic-10-25.html
Vecamyl,Hypertension,0%,Rx,C,N,,,,https://www.drugs.com/mtm/vecamyl.html
Zaroxolyn,Hypertension,0%,Rx,B,N,X,,,https://www.drugs.com/mtm/zaroxolyn.html
levothyroxine,Hypothyroidism,100%,Rx,A,N,,5.1,468.0,https://www.drugs.com/levothyroxine.html
Synthroid,Hypothyroidism,54%,Rx,A,N,,6.3,89.0,https://www.drugs.com/synthroid.html
Armour Thyroid,Hypothyroidism,25%,Rx,A,N,,6.6,124.0,https://www.drugs.com/mtm/armour-thyroid.html
Levoxyl,Hypothyroidism,18%,Rx,A,N,,6.6,17.0,https://www.drugs.com/levoxyl.html
Cytomel,Hypothyroidism,11%,Rx,A,N,,6.9,39.0,https://www.drugs.com/mtm/cytomel.html
Tirosint,Hypothyroidism,11%,Rx,A,N,,6.7,50.0,https://www.drugs.com/cons/tirosint.html
Euthyrox,Hypothyroidism,7%,Rx,A,N,,1.1,92.0,https://www.drugs.com/euthyrox.html
liothyronine,Hypothyroidism,7%,Rx,A,N,,6.3,69.0,https://www.drugs.com/mtm/liothyronine.html
Nature-Throid,Hypothyroidism,7%,Rx,A,N,,6.3,28.0,https://www.drugs.com/mtm/nature-throid.html
Unithroid,Hypothyroidism,7%,Rx,A,N,,7.3,3.0,https://www.drugs.com/cons/unithroid.html
Westhroid,Hypothyroidism,6%,Rx,A,N,,10.0,2.0,https://www.drugs.com/mtm/westhroid.html
Levo-T,Hypothyroidism,5%,Rx,A,N,,0.0,1.0,https://www.drugs.com/pro/levo-t.html
Thyquidity,Hypothyroidism,5%,Rx,A,N,,10.0,1.0,https://www.drugs.com/pro/thyquidity.html
thyroid desiccated,Hypothyroidism,5%,Rx,A,N,,5.0,317.0,https://www.drugs.com/thyroid.html
Tirosint-Sol,Hypothyroidism,5%,Rx,A,N,,1.0,3.0,https://www.drugs.com/cons/tirosint-sol.html
NP Thyroid,Hypothyroidism,2%,Rx,A,N,,3.0,129.0,https://www.drugs.com/mtm/np-thyroid.html
Triostat,Hypothyroidism,1%,Rx,A,N,,,,https://www.drugs.com/cons/triostat.html
WP Thyroid,Hypothyroidism,1%,Rx,A,N,,5.2,15.0,https://www.drugs.com/mtm/wp-thyroid.html
budesonide,IBD (Bowel),96%,Rx,C,N,,7.6,31.0,https://www.drugs.com/mtm/budesonide.html
prednisone,IBD (Bowel),82%,Rx,C,N,,6.0,4.0,https://www.drugs.com/prednisone.html
mesalamine,IBD (Bowel),74%,Rx,B,N,,7.3,14.0,https://www.drugs.com/mtm/mesalamine.html
sulfasalazine,IBD (Bowel),60%,Rx,B,N,,7.0,3.0,https://www.drugs.com/sulfasalazine.html
Lialda,IBD (Bowel),53%,Rx,B,N,,5.5,2.0,https://www.drugs.com/lialda.html
Asacol,IBD (Bowel),52%,Rx,B,N,,9.0,1.0,https://www.drugs.com/cons/asacol-800.html
Pentasa,IBD (Bowel),49%,Rx,B,N,,8.5,4.0,https://www.drugs.com/pentasa.html
Apriso,IBD (Bowel),45%,Rx,B,N,,9.5,2.0,https://www.drugs.com/apriso.html
Remicade,IBD (Bowel),39%,Rx,B,N,,,,https://www.drugs.com/remicade.html
infliximab,IBD (Bowel),38%,Rx,B,N,,,,https://www.drugs.com/infliximab.html
Asacol HD,IBD (Bowel),37%,Rx,B,N,,,,https://www.drugs.com/asacol.html
Azulfidine,IBD (Bowel),36%,Rx,B,N,,,,https://www.drugs.com/mtm/azulfidine.html
Delzicol,IBD (Bowel),35%,Rx,B,N,,10.0,1.0,https://www.drugs.com/delzicol.html
Rowasa,IBD (Bowel),32%,Rx,B,N,,,,https://www.drugs.com/rowasa.html
Entocort EC,IBD (Bowel),31%,Rx,C,N,,7.9,12.0,https://www.drugs.com/mtm/entocort-ec.html
hydrocortisone,IBD (Bowel),17%,Rx,C,N,,,,https://www.drugs.com/mtm/hydrocortisone.html
azathioprine,IBD (Bowel),12%,Rx,D,N,,5.0,2.0,https://www.drugs.com/mtm/azathioprine.html
dexamethasone,IBD (Bowel),11%,Rx,C,N,,,,https://www.drugs.com/dexamethasone.html
mercaptopurine,IBD (Bowel),9%,Rx,D,N,,,,https://www.drugs.com/mtm/mercaptopurine.html
Imuran,IBD (Bowel),8%,Rx,D,N,,1.0,1.0,https://www.drugs.com/mtm/imuran.html
cromolyn,IBD (Bowel),5%,Rx,B,N,,7.0,3.0,https://www.drugs.com/mtm/cromolyn-sodium.html
cyclosporine,IBD (Bowel),5%,Rx,C,N,,,,https://www.drugs.com/mtm/cyclosporine-oral-injection.html
Dexamethasone Intensol,IBD (Bowel),5%,Rx,C,N,,,,https://www.drugs.com/cons/dexamethasone-intensol.html
Gastrocrom,IBD (Bowel),5%,Rx,B,N,,,,https://www.drugs.com/mtm/gastrocrom.html
Acthar,IBD (Bowel),4%,Rx,C,N,,,,https://www.drugs.com/cdi/acthar.html
Cortef,IBD (Bowel),4%,Rx,C,N,,,,https://www.drugs.com/cons/cortef.html
corticotropin,IBD (Bowel),3%,Rx,C,N,,,,https://www.drugs.com/mtm/corticotropin.html
Cortifoam,IBD (Bowel),3%,Rx,C,N,,,,https://www.drugs.com/mtm/cortifoam-foam-enema.html
mycophenolate mofetil,IBD (Bowel),3%,Rx,D,N,,,,https://www.drugs.com/mtm/mycophenolate-mofetil-oral-injection.html
Cortenema,IBD (Bowel),2%,Rx,C,N,,,,https://www.drugs.com/mtm/cortenema-foam-enema.html
De-Sone LA,IBD (Bowel),2%,Rx,C,N,,,,https://www.drugs.com/mtm/de-sone-la-injection.html
Dxevo,IBD (Bowel),2%,Rx,C,N,,,,https://www.drugs.com/pro/dxevo-tablets.html
Solu-Cortef,IBD (Bowel),2%,Rx,C,N,,,,https://www.drugs.com/mtm/solu-cortef-injection.html
ZoDex,IBD (Bowel),2%,Rx,C,N,,,,https://www.drugs.com/cdi/zodex.html
Azasan,IBD (Bowel),1%,Rx,D,N,,,,https://www.drugs.com/mtm/azasan.html
Azulfidine EN-tabs,IBD (Bowel),1%,Rx,B,N,,,,https://www.drugs.com/mtm/azulfidine-en-tabs.html
H.P. Acthar Gel,IBD (Bowel),0%,Rx,C,N,,,,https://www.drugs.com/mtm/acthar-gel-h-p.html
oxybutynin,Incontinence,97%,Rx/OTC,B,N,X,5.7,74.0,https://www.drugs.com/oxybutynin.html
Myrbetriq,Incontinence,48%,Rx,C,N,,4.3,80.0,https://www.drugs.com/myrbetriq.html
VESIcare,Incontinence,38%,Rx,C,N,,6.6,41.0,https://www.drugs.com/vesicare.html
Detrol LA,Incontinence,20%,Rx,C,N,X,6.1,7.0,https://www.drugs.com/mtm/detrol-la.html
tolterodine,Incontinence,16%,Rx,C,N,X,5.8,18.0,https://www.drugs.com/mtm/tolterodine.html
Toviaz,Incontinence,14%,Rx,C,N,,6.5,15.0,https://www.drugs.com/toviaz.html
amitriptyline,Incontinence,11%,Rx,C,N,X,7.0,3.0,https://www.drugs.com/amitriptyline.html
solifenacin,Incontinence,11%,Rx,C,N,,6.5,49.0,https://www.drugs.com/mtm/solifenacin.html
Oxytrol,Incontinence,10%,Rx,B,N,X,8.4,18.0,https://www.drugs.com/oxytrol.html
Detrol,Incontinence,9%,Rx,C,N,X,5.5,2.0,https://www.drugs.com/detrol.html
Ditropan XL,Incontinence,9%,Rx,B,N,X,,,https://www.drugs.com/mtm/ditropan-xl.html
hyoscyamine,Incontinence,9%,Rx,C,N,X,8.0,5.0,https://www.drugs.com/mtm/hyoscyamine.html
mirabegron,Incontinence,9%,Rx,C,N,,4.4,93.0,https://www.drugs.com/mtm/mirabegron.html
duloxetine,Incontinence,8%,Rx,C,N,X,6.2,5.0,https://www.drugs.com/duloxetine.html
trospium,Incontinence,8%,Rx,C,N,X,6.7,21.0,https://www.drugs.com/mtm/trospium.html
Gelnique,Incontinence,5%,Rx,B,N,X,2.0,1.0,https://www.drugs.com/gelnique.html
Botox,Incontinence,3%,Rx,C,N,,4.4,22.0,https://www.drugs.com/botox.html
fesoterodine,Incontinence,3%,Rx,C,N,,6.6,16.0,https://www.drugs.com/mtm/fesoterodine.html
darifenacin,Incontinence,2%,Rx,C,N,,5.0,8.0,https://www.drugs.com/mtm/darifenacin.html
flavoxate,Incontinence,2%,Rx,B,N,X,,,https://www.drugs.com/mtm/flavoxate.html
onabotulinumtoxinA,Incontinence,1%,Rx,C,N,,4.4,22.0,https://www.drugs.com/mtm/onabotulinumtoxina.html
trazodone,Insomnia,98%,Rx,C,N,X,6.2,867.0,https://www.drugs.com/trazodone.html
Ambien,Insomnia,61%,Rx,C,4,X,7.0,543.0,https://www.drugs.com/ambien.html
zolpidem,Insomnia,58%,Rx,C,4,X,6.9,1008.0,https://www.drugs.com/zolpidem.html
Belsomra,Insomnia,44%,Rx,C,4,X,3.6,505.0,https://www.drugs.com/belsomra.html
suvorexant,Insomnia,33%,Rx,C,4,X,3.7,530.0,https://www.drugs.com/mtm/suvorexant.html
Dayvigo,Insomnia,31%,Rx,,4,X,4.2,170.0,https://www.drugs.com/dayvigo.html
temazepam,Insomnia,31%,Rx,X,4,X,6.4,423.0,https://www.drugs.com/temazepam.html
daridorexant,Insomnia,30%,Rx,,4,X,3.0,29.0,https://www.drugs.com/mtm/daridorexant.html
lemborexant,Insomnia,30%,Rx,,4,X,4.2,180.0,https://www.drugs.com/mtm/lemborexant.html
Quviviq,Insomnia,30%,Rx,,4,X,3.0,29.0,https://www.drugs.com/quviviq.html
amitriptyline,Insomnia,25%,Rx,C,N,X,7.1,267.0,https://www.drugs.com/amitriptyline.html
Lunesta,Insomnia,25%,Rx,C,4,X,5.8,313.0,https://www.drugs.com/lunesta.html
quetiapine,Insomnia,22%,Rx,C,N,X,7.6,507.0,https://www.drugs.com/quetiapine.html
Restoril,Insomnia,21%,Rx,X,4,X,6.8,104.0,https://www.drugs.com/restoril.html
Ativan,Insomnia,20%,Rx,D,4,X,7.4,36.0,https://www.drugs.com/ativan.html
mirtazapine,Insomnia,20%,Rx,C,N,X,7.0,453.0,https://www.drugs.com/mirtazapine.html
lorazepam,Insomnia,19%,Rx,D,4,X,7.2,123.0,https://www.drugs.com/lorazepam.html
clonazepam,Insomnia,18%,Rx,D,4,X,7.2,187.0,https://www.drugs.com/clonazepam.html
gabapentin,Insomnia,17%,Rx,C,N,X,7.5,130.0,https://www.drugs.com/gabapentin.html
doxepin,Insomnia,16%,Rx,N,N,X,5.7,303.0,https://www.drugs.com/mtm/doxepin-capsules-oral-concentrate.html
estazolam,Insomnia,15%,Rx,X,4,X,8.6,24.0,https://www.drugs.com/mtm/estazolam.html
flurazepam,Insomnia,15%,Rx,N,4,X,8.1,97.0,https://www.drugs.com/mtm/flurazepam.html
Halcion,Insomnia,15%,Rx,X,4,X,7.9,30.0,https://www.drugs.com/mtm/halcion.html
Ambien CR,Insomnia,13%,Rx,C,4,X,6.5,98.0,https://www.drugs.com/cons/ambien-cr-oral.html
diphenhydramine,Insomnia,13%,Rx/OTC,B,N,X,4.9,362.0,https://www.drugs.com/diphenhydramine.html
eszopiclone,Insomnia,13%,Rx,C,4,X,5.6,407.0,https://www.drugs.com/mtm/eszopiclone.html
Rozerem,Insomnia,11%,Rx,C,N,X,4.3,102.0,https://www.drugs.com/rozerem.html
Silenor,Insomnia,9%,Rx,N,N,X,6.2,122.0,https://www.drugs.com/silenor.html
Sonata,Insomnia,9%,Rx,C,4,X,5.7,71.0,https://www.drugs.com/sonata.html
Advil PM,Insomnia,8%,OTC,N,N,X,6.9,12.0,https://www.drugs.com/mtm/advil-pm.html
doxylamine,Insomnia,7%,Rx/OTC,B,N,X,6.5,210.0,https://www.drugs.com/mtm/doxylamine.html
triazolam,Insomnia,7%,Rx,X,4,X,8.2,60.0,https://www.drugs.com/mtm/triazolam.html
quazepam,Insomnia,6%,Rx,C,4,X,9.8,12.0,https://www.drugs.com/mtm/quazepam.html
Edluar,Insomnia,5%,Rx,C,4,X,9.2,12.0,https://www.drugs.com/edluar.html
olanzapine,Insomnia,5%,Rx,C,N,X,5.8,96.0,https://www.drugs.com/mtm/olanzapine.html
Tylenol PM,Insomnia,5%,Rx/OTC,N,N,X,5.9,26.0,https://www.drugs.com/mtm/tylenol-pm.html
Unisom SleepTabs,Insomnia,5%,Rx/OTC,B,N,X,5.6,75.0,https://www.drugs.com/mtm/unisom.html
zaleplon,Insomnia,4%,Rx,C,4,X,5.2,132.0,https://www.drugs.com/mtm/zaleplon.html
Compoz Nighttime Sleep Aid,Insomnia,3%,Rx/OTC,B,N,X,9.0,2.0,https://www.drugs.com/mtm/compoz-nighttime-sleep-aid.html
Doral,Insomnia,3%,Rx,C,4,X,9.7,6.0,https://www.drugs.com/mtm/doral.html
ramelteon,Insomnia,3%,Rx,C,N,X,4.0,144.0,https://www.drugs.com/mtm/ramelteon.html
chloral hydrate,Insomnia,2%,Rx,C,4,X,8.1,18.0,https://www.drugs.com/cdi/chloral-hydrate-capsules.html
dimenhydrinate,Insomnia,2%,Rx/OTC,B,N,X,8.4,9.0,https://www.drugs.com/mtm/dimenhydrinate.html
diphenhydramine / ibuprofen,Insomnia,2%,OTC,N,N,X,7.1,14.0,https://www.drugs.com/mtm/diphenhydramine-and-ibuprofen.html
Nytol,Insomnia,2%,Rx/OTC,B,N,X,4.0,126.0,https://www.drugs.com/cdi/nytol.html
oxazepam,Insomnia,2%,Rx,N,4,X,6.6,13.0,https://www.drugs.com/mtm/oxazepam.html
pentobarbital,Insomnia,2%,Rx,D,M,X,10.0,1.0,https://www.drugs.com/mtm/pentobarbital-injection.html
Simply Sleep,Insomnia,2%,Rx/OTC,B,N,X,5.2,20.0,https://www.drugs.com/mtm/simply-sleep.html
Sominex,Insomnia,2%,Rx/OTC,B,N,X,6.4,61.0,https://www.drugs.com/mtm/sominex.html
Unisom SleepGels,Insomnia,2%,Rx/OTC,B,N,X,5.1,20.0,https://www.drugs.com/mtm/unisom-sleep-gels.html
Unisom SleepMelts,Insomnia,2%,Rx/OTC,B,N,X,9.0,1.0,https://www.drugs.com/cdi/unisom-sleepmelts.html
Zolpimist,Insomnia,2%,Rx,C,4,X,7.4,8.0,https://www.drugs.com/zolpimist.html
ZzzQuil,Insomnia,2%,Rx/OTC,B,N,X,3.1,57.0,https://www.drugs.com/mtm/zzzquil.html
acetaminophen / diphenhydramine,Insomnia,1%,Rx/OTC,N,N,X,6.3,31.0,https://www.drugs.com/mtm/acetaminophen-and-diphenhydramine.html
amobarbital,Insomnia,1%,Rx,D,2,X,10.0,1.0,https://www.drugs.com/cdi/amobarbital.html
Ibuprofen PM,Insomnia,1%,OTC,N,N,X,8.5,2.0,https://www.drugs.com/mtm/ibuprofen-pm.html
Nighttime Sleepaid,Insomnia,1%,Rx/OTC,B,N,X,10.0,1.0,https://www.drugs.com/cdi/nitetime-sleep-aid.html
Nytol QuickCaps,Insomnia,1%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/nytol-quickcaps.html
phenobarbital,Insomnia,1%,Rx,D,4,X,9.0,3.0,https://www.drugs.com/mtm/phenobarbital.html
Sleep Aid,Insomnia,1%,Rx/OTC,B,N,X,8.4,7.0,https://www.drugs.com/cdi/sleep-aid.html
Sleepinal,Insomnia,1%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/sleepinal.html
Twilite,Insomnia,1%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/twilite.html
Z-Sleep,Insomnia,1%,Rx/OTC,B,N,X,7.0,1.0,https://www.drugs.com/mtm/z-sleep.html
Aleve PM,Insomnia,0%,OTC,C,N,X,6.9,23.0,https://www.drugs.com/aleve-pm.html
diphenhydramine / magnesium salicylate,Insomnia,0%,OTC,N,N,X,,,https://www.drugs.com/mtm/diphenhydramine-and-magnesium-salicylate.html
diphenhydramine / naproxen,Insomnia,0%,OTC,C,N,X,6.9,23.0,https://www.drugs.com/mtm/diphenhydramine-and-naproxen.html
Doans PM,Insomnia,0%,OTC,N,N,X,,,https://www.drugs.com/mtm/doans-pm.html
Equaline Sleep Aid,Insomnia,0%,Rx/OTC,B,N,X,,,https://www.drugs.com/pro/equaline-sleep-aid.html
Equate Sleep Aid,Insomnia,0%,Rx/OTC,B,N,X,5.0,9.0,https://www.drugs.com/pro/equate-sleep-aid.html
Headache Relief PM,Insomnia,0%,Rx/OTC,N,N,X,6.0,1.0,https://www.drugs.com/mtm/headache-relief-pm.html
Legatrin PM,Insomnia,0%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/legatrin-pm.html
Midol PM,Insomnia,0%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/midol-pm.html
Motrin PM,Insomnia,0%,OTC,N,N,X,,,https://www.drugs.com/mtm/motrin-pm.html
Percogesic Extra Strength,Insomnia,0%,Rx/OTC,N,N,X,,,https://www.drugs.com/percogesic.html
Percogesic Original Strength,Insomnia,0%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/percogesic-original-strength.html
zopiclone,Insomnia,0%,Rx,,U,,9.5,2.0,https://www.drugs.com/zopiclone.html
esterified estrogens / methyltestosterone,Menopause,97%,Rx,X,3,,9.2,13.0,https://www.drugs.com/mtm/esterified-estrogens-and-methyltestosterone.html
EEMT HS,Menopause,46%,Rx,X,3,,,,https://www.drugs.com/mtm/eemt-hs.html
Covaryx,Menopause,39%,Rx,X,3,,,,https://www.drugs.com/mtm/covaryx.html
EEMT,Menopause,30%,Rx,X,3,,,,https://www.drugs.com/mtm/eemt.html
Bijuva,Menopause,29%,Rx,,N,,5.6,10.0,https://www.drugs.com/bijuva.html
estradiol / progesterone,Menopause,20%,Rx,,N,,5.6,10.0,https://www.drugs.com/mtm/estradiol-and-progesterone.html
Covaryx HS,Menopause,15%,Rx,X,3,,,,https://www.drugs.com/mtm/covaryx-hs.html
